process_name,page_fault_count,peak_working_set_size,working_set_size,quota_peak_paged_pool_usage,quota_paged_pool_usage,quota_peak_non_paged_pool_usage,quota_non_paged_pool_usage,page_file_usage,peak_page_file_usage
SearchFilterHost.exe,3530,12582912,12431360,110360,109864,10608,10472,2314240,2576384
codCrashHandler.exe,2993,11829248,11829248,156240,156016,43984,11936,2756608,2756608
LogonUI.exe,36427,110706688,98758656,806296,804296,58664,43512,52580352,71495680
svchost.exe,2879,11325440,11259904,98176,98080,12504,10744,2445312,2613248
MicrosoftEdgeUpdate.exe,4503,13533184,13529088,113256,113032,14728,14688,3375104,4059136
updater.exe,5037,14778368,14778368,130216,129944,20112,17368,3948544,4210688
svchost.exe,2496,9809920,9805824,76696,76472,9592,9456,2097152,2101248
updater.exe,3267,11882496,11866112,116536,116536,14944,14896,3354624,3354624
updater.exe,5259,15413248,15413248,130336,129944,20112,17640,4251648,4276224
updater.exe,3343,12206080,12206080,116520,116520,14896,14896,3358720,3358720
svchost.exe,2012,7970816,7970816,62856,62856,9200,9104,1662976,1662976
updater.exe,7514,18108416,18108416,149416,148352,54136,21136,5001216,5488640
updater.exe,3398,12435456,12435456,116536,116536,14896,14896,3342336,3342336
svchost.exe,2653,10440704,10391552,97512,97512,10536,10400,2371584,2445312
svchost.exe,3350,13262848,13246464,100488,100360,18464,17312,4259840,4276224
ctfmon.exe,4859,19501056,19501056,143960,139904,15632,15632,3395584,3395584
NvSHIM.exe,6075,18178048,17129472,169784,169032,15640,15512,3391488,3391488
conhost.exe,1918,7503872,7495680,113880,111056,9512,8568,1208320,1212416
dxdiag.exe,2649,10522624,10522624,134200,134024,9800,9800,1597440,1597440
